product_id,name,category,price,stock_quantity,supplier,description,weight,dimensions,warranty,release_date,rating,reviews_count
1,Product 1,Books,353.09,111,Logitech,Description for Product 1 in Books,2.91,71x27x30,4,2023-12-19,3.1,176
2,Product 2,Books,705.28,78,Ninja,Description for Product 2 in Books,8.91,35x11x8,4,2021-01-21,3.0,29
3,Product 3,Home Appliances,482.49,265,Philips,Description for Product 3 in Home Appliances,5.82,94x31x26,2,2022-12-03,4.6,2196
4,Product 4,Sports,96.08,315,Sony,Description for Product 4 in Sports,6.85,64x31x20,2,2020-07-01,3.4,337
5,Product 5,Electronics,377.46,197,Dell,Description for Product 5 in Electronics,4.28,11x50x20,5,2021-08-04,4.4,221
6,Product 6,Wearables,561.85,144,Amazon,Description for Product 6 in Wearables,3.34,55x15x8,4,2021-10-09,4.7,1364
7,Product 7,Books,869.61,219,Adidas,Description for Product 7 in Books,7.9,59x14x27,2,2023-04-11,4.9,4171
8,Product 8,Home Appliances,146.89,129,Logitech,Description for Product 8 in Home Appliances,3.13,75x47x7,2,2021-07-23,4.9,3927
9,Product 9,Wearables,582.6,4,Nike,Description for Product 9 in Wearables,2.05,71x14x22,4,2022-04-24,4.9,2039
10,Product 10,Sports,575.38,299,Logitech,Description for Product 10 in Sports,6.71,79x45x19,5,2020-08-25,3.1,4913
11,Product 11,Electronics,985.13,248,Nike,Description for Product 11 in Electronics,3.74,18x20x17,1,2019-08-13,4.4,4345
12,Product 12,Books,679.7,52,Logitech,Description for Product 12 in Books,4.41,22x42x9,4,2022-06-07,4.2,159
13,Product 13,Wearables,639.3,76,Fitbit,Description for Product 13 in Wearables,3.71,15x44x27,1,2022-08-14,3.6,3560
14,Product 14,Home Appliances,402.7,376,Philips,Description for Product 14 in Home Appliances,4.25,70x22x24,2,2022-11-11,3.2,3679
15,Product 15,Electronics,410.65,134,Apple,Description for Product 15 in Electronics,6.14,70x30x14,2,2019-02-12,5.0,2775
16,Product 16,Electronics,502.48,289,Logitech,Description for Product 16 in Electronics,7.38,12x12x22,1,2020-10-13,3.1,2726
17,Product 17,Electronics,173.0,168,Dell,Description for Product 17 in Electronics,2.46,13x47x19,2,2021-01-11,4.9,1182
18,Product 18,Books,571.82,9,Fitbit,Description for Product 18 in Books,3.5,58x48x23,1,2020-10-03,4.4,1271
19,Product 19,Electronics,657.61,106,Sony,Description for Product 19 in Electronics,2.02,11x33x7,4,2023-08-29,4.2,580
20,Product 20,Books,931.06,440,Dell,Description for Product 20 in Books,8.39,87x37x13,1,2023-02-26,4.0,608
21,Product 21,Sports,731.19,486,Amazon,Description for Product 21 in Sports,5.49,64x36x28,2,2020-09-17,4.3,3584
22,Product 22,Electronics,310.17,14,Fitbit,Description for Product 22 in Electronics,2.96,38x43x11,5,2018-09-05,3.4,4256
23,Product 23,Sports,49.42,245,Sony,Description for Product 23 in Sports,0.17,65x14x19,3,2020-05-07,3.8,1026
24,Product 24,Home Appliances,485.69,288,Fitbit,Description for Product 24 in Home Appliances,7.03,30x44x30,2,2022-02-03,4.7,4957
25,Product 25,Electronics,952.15,223,Dell,Description for Product 25 in Electronics,7.09,69x38x18,1,2023-03-10,3.8,81
26,Product 26,Wearables,840.71,290,Fitbit,Description for Product 26 in Wearables,4.07,47x28x29,5,2022-02-21,3.7,4012
27,Product 27,Electronics,689.17,236,Apple,Description for Product 27 in Electronics,4.22,47x37x9,3,2022-12-26,3.1,1277
28,Product 28,Books,116.18,459,Logitech,Description for Product 28 in Books,8.06,94x47x27,5,2019-06-30,4.9,1367
29,Product 29,Wearables,806.29,299,Fitbit,Description for Product 29 in Wearables,4.37,73x50x11,1,2019-08-03,4.9,3023
30,Product 30,Wearables,10.07,36,Logitech,Description for Product 30 in Wearables,7.73,15x50x24,4,2023-04-16,4.6,3172
31,Product 31,Sports,711.59,251,Apple,Description for Product 31 in Sports,2.31,80x23x10,5,2023-05-22,3.4,2266
32,Product 32,Sports,432.46,382,Logitech,Description for Product 32 in Sports,9.06,46x50x13,4,2019-03-26,4.5,4156
33,Product 33,Sports,84.37,250,Amazon,Description for Product 33 in Sports,4.58,99x45x30,5,2022-07-21,3.4,4546
34,Product 34,Electronics,100.8,191,Apple,Description for Product 34 in Electronics,8.41,65x33x18,1,2022-02-09,3.5,2367
35,Product 35,Home Appliances,194.9,200,Logitech,Description for Product 35 in Home Appliances,2.44,51x20x18,2,2022-03-04,5.0,4223
36,Product 36,Home Appliances,840.71,131,Nike,Description for Product 36 in Home Appliances,8.81,47x24x19,5,2019-04-27,4.9,2547
37,Product 37,Books,338.69,455,Fitbit,Description for Product 37 in Books,0.74,50x16x23,5,2023-03-27,5.0,1047
38,Product 38,Sports,321.07,155,Dell,Description for Product 38 in Sports,2.81,42x18x15,1,2023-04-05,4.5,4280
39,Product 39,Wearables,789.66,304,Sony,Description for Product 39 in Wearables,4.89,70x49x28,5,2020-06-30,4.5,2677
40,Product 40,Electronics,982.03,228,Ninja,Description for Product 40 in Electronics,9.93,98x50x26,4,2023-12-12,4.7,1505
41,Product 41,Home Appliances,982.21,461,Philips,Description for Product 41 in Home Appliances,3.25,60x22x8,1,2020-01-10,4.9,2026
42,Product 42,Books,642.81,251,Amazon,Description for Product 42 in Books,3.28,61x17x13,5,2022-06-10,4.6,3314
43,Product 43,Wearables,753.15,17,Philips,Description for Product 43 in Wearables,3.52,30x50x12,1,2020-10-03,4.2,3536
44,Product 44,Home Appliances,974.56,189,Apple,Description for Product 44 in Home Appliances,9.37,41x16x8,1,2023-03-11,3.5,1744
45,Product 45,Books,615.01,209,Ninja,Description for Product 45 in Books,1.55,83x11x14,3,2020-07-13,4.4,1846
46,Product 46,Electronics,753.53,349,Amazon,Description for Product 46 in Electronics,8.48,23x27x21,4,2018-02-01,3.5,4807
47,Product 47,Home Appliances,637.56,206,Apple,Description for Product 47 in Home Appliances,0.18,71x32x14,3,2023-03-24,3.6,2939
48,Product 48,Electronics,740.25,311,Adidas,Description for Product 48 in Electronics,5.48,14x48x12,1,2018-06-28,3.3,1572
49,Product 49,Sports,623.28,425,Adidas,Description for Product 49 in Sports,5.85,98x46x26,4,2020-08-20,3.1,3895
50,Product 50,Home Appliances,77.4,106,Nike,Description for Product 50 in Home Appliances,0.35,24x43x19,3,2021-12-08,4.9,2576
51,Product 51,Sports,547.98,471,Apple,Description for Product 51 in Sports,0.3,19x40x8,2,2023-04-25,3.7,2969
52,Product 52,Home Appliances,680.81,413,Adidas,Description for Product 52 in Home Appliances,9.61,97x28x24,2,2018-09-07,3.3,2009
53,Product 53,Wearables,775.27,455,Logitech,Description for Product 53 in Wearables,1.57,44x34x18,5,2019-11-16,4.9,4660
54,Product 54,Books,804.62,85,Amazon,Description for Product 54 in Books,1.22,81x21x10,4,2020-05-17,3.9,2897
55,Product 55,Home Appliances,38.66,54,Fitbit,Description for Product 55 in Home Appliances,7.05,14x46x23,5,2021-06-23,4.9,1619
56,Product 56,Books,399.27,389,Amazon,Description for Product 56 in Books,9.61,74x16x8,4,2021-09-24,3.0,3075
57,Product 57,Electronics,924.19,97,Dell,Description for Product 57 in Electronics,5.7,22x22x21,4,2023-04-28,3.2,3081
58,Product 58,Home Appliances,62.45,258,Adidas,Description for Product 58 in Home Appliances,7.95,79x15x30,3,2022-06-20,3.2,2893
59,Product 59,Electronics,506.08,158,Dell,Description for Product 59 in Electronics,9.56,51x37x25,5,2022-05-16,3.2,2736
60,Product 60,Sports,881.08,392,Amazon,Description for Product 60 in Sports,2.77,40x50x15,2,2018-03-11,4.2,677
